Comunidad,Año,Mes,Temperatura Media,Temperatura Minima,Temperatura Maxima,Presion Maxima,Racha
Extremadura,2011,Septiembre,23.23,15.35,31.12,982.19,8.4
Galicia,2011,Septiembre,18.81,13.7,23.91,989.73,9.44
País Vasco,2011,Septiembre,19.45,14.51,24.39,998.89,9.07
Principado de Asturias,2011,Septiembre,17.73,14.16,21.29,991.5,9.04
Región de Murcia,2011,Septiembre,24.19,18.56,29.84,992.54,9.03
La Rioja,2011,Septiembre,21.13,13.75,28.53,978.9,8.13
Ceuta,2011,Septiembre,23.19,20.33,26.03,1008.96,8.45
Melilla,2011,Septiembre,24.05,21.27,26.83,1012.06,8.84
Andalucía,2011,Octubre,19.9,14.16,25.64,981.22,9.03
Aragón,2011,Octubre,15.5,8.07,22.95,948.47,8.68
Islas Baleares,2011,Octubre,19.75,15.01,24.5,1017.47,10.09
Cataluña,2011,Octubre,17.22,11.43,23.01,980.87,8.3
Canarias,2011,Octubre,22.74,19.58,25.89,980.33,10.9
Cantabria,2011,Octubre,14.86,9.64,20.08,992.88,10.4
Castilla-La Mancha,2011,Octubre,16.25,8.55,23.95,937.3,8.13
Castilla y León,2011,Octubre,13.34,5.62,21.05,912.77,9.2
Comunidad de Madrid,2011,Octubre,15.11,8.61,21.62,912.55,8.69
Comunidad Foral de Navarra,2011,Octubre,15.01,8.7,21.34,977.73,11.05
Comunidad Valenciana,2011,Octubre,18.83,13.39,24.28,1004.58,8.19
Extremadura,2011,Octubre,19.44,11.89,26.99,983.98,8.51
Galicia,2011,Octubre,16.17,10.28,22.07,991.0,9.71
País Vasco,2011,Octubre,15.39,10.2,20.56,995.68,9.76
Principado de Asturias,2011,Octubre,15.39,11.31,19.46,992.46,9.83
Región de Murcia,2011,Octubre,19.58,13.74,25.47,993.29,7.96
La Rioja,2011,Octubre,15.72,8.54,22.89,980.52,8.04
Ceuta,2011,Octubre,20.54,18.28,22.81,1010.93,7.9
Melilla,2011,Octubre,20.77,17.61,23.93,1013.69,8.12
Andalucía,2011,Noviembre,13.84,9.57,18.12,980.32,9.27
Aragón,2011,Noviembre,10.14,5.85,14.43,940.95,8.11
Islas Baleares,2011,Noviembre,16.39,12.95,19.83,1015.76,11.1
Cataluña,2011,Noviembre,13.16,9.3,17.01,987.66,7.73
Canarias,2011,Noviembre,19.7,16.79,22.6,982.55,10.67
Cantabria,2011,Noviembre,12.28,8.61,15.96,985.01,10.49
Castilla-La Mancha,2011,Noviembre,10.63,6.18,15.08,935.22,8.46
Castilla y León,2011,Noviembre,8.29,4.15,12.43,911.78,9.79
Comunidad de Madrid,2011,Noviembre,9.0,5.44,12.55,909.08,9.07
Comunidad Foral de Navarra,2011,Noviembre,11.56,7.69,15.45,975.5,10.3
Comunidad Valenciana,2011,Noviembre,14.8,10.56,19.05,1002.82,8.69
Extremadura,2011,Noviembre,12.38,8.06,16.71,977.78,8.85
Galicia,2011,Noviembre,11.74,8.07,15.41,987.39,11.49
País Vasco,2011,Noviembre,13.42,9.85,16.99,994.13,11.61
Principado de Asturias,2011,Noviembre,12.94,9.79,16.09,1005.61,10.12
Región de Murcia,2011,Noviembre,15.09,10.83,19.34,991.52,8.96
La Rioja,2011,Noviembre,11.2,7.26,15.13,977.78,9.13
Ceuta,2011,Noviembre,16.5,14.18,18.83,1009.7,8.99
Melilla,2011,Noviembre,16.67,13.62,19.73,1012.55,10.7
Andalucía,2011,Diciembre,10.51,5.49,15.54,989.72,8.05
Aragón,2011,Diciembre,6.26,1.32,11.2,947.82,10.4
Islas Baleares,2011,Diciembre,12.49,8.37,16.6,1022.52,11.77
Cataluña,2011,Diciembre,8.49,3.22,13.76,990.59,9.26
Canarias,2011,Diciembre,18.46,15.9,21.01,990.74,11.38
Cantabria,2011,Diciembre,8.58,4.87,12.3,991.93,11.08
Castilla-La Mancha,2011,Diciembre,6.19,0.79,11.58,943.42,7.88
Castilla y León,2011,Diciembre,4.55,-0.2,9.31,919.18,8.92
Comunidad de Madrid,2011,Diciembre,5.45,0.68,10.23,917.96,9.23
Comunidad Foral de Navarra,2011,Diciembre,7.38,3.28,11.48,982.29,9.73
Comunidad Valenciana,2011,Diciembre,11.91,6.57,17.25,1010.12,9.07
Extremadura,2011,Diciembre,7.93,3.04,12.81,986.45,6.9
Galicia,2011,Diciembre,9.17,5.92,12.41,998.06,10.21
País Vasco,2011,Diciembre,9.16,5.81,12.51,1002.69,11.88
Principado de Asturias,2011,Diciembre,9.02,5.65,12.39,989.18,13.21
Región de Murcia,2011,Diciembre,11.67,6.07,17.27,999.28,8.85
La Rioja,2011,Diciembre,7.84,3.42,12.25,985.79,8.74
Ceuta,2011,Diciembre,15.01,12.42,17.59,1018.27,9.93
Melilla,2011,Diciembre,14.02,10.32,17.72,1021.5,10.16
Andalucía,2012,Enero,10.08,4.6,15.56,989.09,7.68
Aragón,2012,Enero,5.28,-0.18,10.74,948.55,9.03
Islas Baleares,2012,Enero,10.44,5.39,15.49,1023.69,10.14
Cataluña,2012,Enero,7.28,1.83,12.73,992.65,8.2
Canarias,2012,Enero,17.08,14.16,20.0,988.47,10.45
Cantabria,2012,Enero,7.78,4.29,11.27,997.02,8.69
Castilla-La Mancha,2012,Enero,5.61,-0.92,12.14,941.79,7.32
Castilla y León,2012,Enero,3.44,-1.77,8.65,919.43,7.13
Comunidad de Madrid,2012,Enero,4.91,-0.49,10.32,915.59,8.19
Comunidad Foral de Navarra,2012,Enero,6.06,1.92,10.21,982.23,9.48
Comunidad Valenciana,2012,Enero,10.43,4.86,16.0,1010.57,8.62
Extremadura,2012,Enero,7.61,1.38,13.84,985.24,6.22
Galicia,2012,Enero,8.22,4.15,12.3,999.01,8.05
País Vasco,2012,Enero,7.69,4.47,10.91,1004.48,8.37
Principado de Asturias,2012,Enero,7.98,4.84,11.13,990.43,9.52
Región de Murcia,2012,Enero,10.83,5.19,16.48,998.89,8.15
La Rioja,2012,Enero,7.09,3.01,11.14,986.8,8.45
Ceuta,2012,Enero,13.93,11.52,16.34,1017.46,8.48
Melilla,2012,Enero,12.6,9.09,16.12,1020.86,8.94
Andalucía,2012,Febrero,8.02,1.69,14.35,987.91,9.76
Aragón,2012,Febrero,3.32,-2.9,9.54,946.11,13.74
Islas Baleares,2012,Febrero,7.56,3.24,11.87,1020.53,12.64
Cataluña,2012,Febrero,5.41,-0.81,11.62,983.91,10.27
Canarias,2012,Febrero,15.51,12.66,18.36,988.41,12.2
Cantabria,2012,Febrero,5.17,1.65,8.7,994.55,10.77
Castilla-La Mancha,2012,Febrero,3.76,-3.51,11.02,940.03,10.11
Castilla y León,2012,Febrero,2.21,-4.1,8.51,918.08,10.94
Comunidad de Madrid,2012,Febrero,3.27,-2.76,9.3,914.65,11.94
Comunidad Foral de Navarra,2012,Febrero,3.9,-0.92,8.73,981.61,14.37
Comunidad Valenciana,2012,Febrero,7.93,1.73,14.13,1007.84,10.03
Extremadura,2012,Febrero,6.88,-0.63,14.4,983.85,9.16
Galicia,2012,Febrero,7.67,2.45,12.89,1000.19,10.06
País Vasco,2012,Febrero,4.3,0.66,7.93,1004.99,9.98
Principado de Asturias,2012,Febrero,5.03,1.87,8.19,994.15,10.85
Región de Murcia,2012,Febrero,8.26,2.13,14.39,996.83,10.37
La Rioja,2012,Febrero,5.77,1.41,10.15,986.19,9.94
Ceuta,2012,Febrero,12.53,9.71,15.33,1015.79,10.73
Melilla,2012,Febrero,11.51,8.31,14.71,1018.44,11.44
Andalucía,2012,Marzo,13.15,7.1,19.21,987.09,9.99
Aragón,2012,Marzo,9.95,2.33,17.57,946.0,10.43
Islas Baleares,2012,Marzo,12.44,7.29,17.59,1022.38,10.72
Cataluña,2012,Marzo,11.19,4.63,17.75,980.01,9.34
Canarias,2012,Marzo,17.83,14.64,21.02,985.55,11.4
Cantabria,2012,Marzo,10.13,5.34,14.93,999.95,9.26
Castilla-La Mancha,2012,Marzo,9.79,2.12,17.46,940.34,9.55
Castilla y León,2012,Marzo,8.23,0.71,15.76,917.3,9.92
Comunidad de Madrid,2012,Marzo,9.18,2.6,15.76,915.14,10.08
Comunidad Foral de Navarra,2012,Marzo,10.15,3.01,17.29,981.37,11.03
Comunidad Valenciana,2012,Marzo,12.17,5.99,18.35,1006.76,8.99
Extremadura,2012,Marzo,12.98,5.84,20.12,982.11,9.78
Galicia,2012,Marzo,12.39,6.13,18.66,998.02,9.71
País Vasco,2012,Marzo,10.54,5.32,15.77,1004.12,9.55
Principado de Asturias,2012,Marzo,9.79,5.56,14.03,994.51,9.55
Región de Murcia,2012,Marzo,12.56,6.2,18.9,997.82,9.22
La Rioja,2012,Marzo,11.21,3.85,18.58,984.83,9.45
Ceuta,2012,Marzo,15.05,12.57,17.55,1015.22,9.93
Melilla,2012,Marzo,14.38,11.61,17.15,1018.74,9.74
Andalucía,2012,Abril,13.92,9.19,18.65,977.47,12.27
Aragón,2012,Abril,10.26,4.67,15.86,931.9,13.22
Islas Baleares,2012,Abril,14.93,10.74,19.12,1008.34,12.33
Cataluña,2012,Abril,12.21,7.41,17.02,964.51,11.09
Canarias,2012,Abril,17.63,14.65,20.62,983.42,12.23
Cantabria,2012,Abril,9.45,6.45,12.44,984.63,12.3
Castilla-La Mancha,2012,Abril,10.62,5.36,15.88,928.54,12.2
Castilla y León,2012,Abril,7.0,2.5,11.5,904.78,12.47
Comunidad de Madrid,2012,Abril,8.44,3.99,12.89,902.02,13.52
Comunidad Foral de Navarra,2012,Abril,9.87,5.52,14.21,967.51,12.52
Comunidad Valenciana,2012,Abril,15.08,9.77,20.4,993.63,11.65
Extremadura,2012,Abril,12.14,6.97,17.31,972.07,12.13
Galicia,2012,Abril,9.72,6.0,13.43,987.57,12.5
País Vasco,2012,Abril,10.18,6.9,13.46,988.82,12.7
Principado de Asturias,2012,Abril,8.15,5.27,11.03,974.85,13.53
Región de Murcia,2012,Abril,15.99,10.29,21.68,984.75,11.89
La Rioja,2012,Abril,11.28,6.39,16.18,970.48,10.35
Ceuta,2012,Abril,15.84,13.02,18.63,1006.1,12.3
Melilla,2012,Abril,16.61,13.53,19.68,1008.68,14.68
Andalucía,2012,Mayo,20.25,14.0,26.51,981.02,10.44
Aragón,2012,Mayo,17.61,10.17,25.06,939.31,11.32
Islas Baleares,2012,Mayo,18.75,13.6,23.91,1015.09,9.96
Cataluña,2012,Mayo,17.72,12.05,23.4,972.18,9.68
Canarias,2012,Mayo,21.23,17.73,24.73,981.96,10.99
Cantabria,2012,Mayo,14.62,9.97,19.27,992.16,10.45
Castilla-La Mancha,2012,Mayo,18.35,10.7,26.01,934.46,10.32
Castilla y León,2012,Mayo,14.71,7.69,21.73,912.31,10.6
Comunidad de Madrid,2012,Mayo,16.85,10.3,23.39,908.78,10.67
Comunidad Foral de Navarra,2012,Mayo,16.66,10.55,22.79,973.23,11.5
Comunidad Valenciana,2012,Mayo,19.83,14.03,25.66,1000.55,9.78
Extremadura,2012,Mayo,19.87,12.88,26.86,975.37,10.34
Galicia,2012,Mayo,15.09,10.29,19.88,988.26,10.91
País Vasco,2012,Mayo,15.69,10.68,20.7,995.33,10.37
Principado de Asturias,2012,Mayo,13.55,9.72,17.37,979.94,10.4
Región de Murcia,2012,Mayo,20.64,14.22,27.09,990.8,9.91
La Rioja,2012,Mayo,18.09,11.15,25.04,976.64,9.71
Ceuta,2012,Mayo,19.69,16.2,23.16,1008.83,8.75
Melilla,2012,Mayo,20.01,16.73,23.29,1011.89,8.93
Andalucía,2012,Junio,24.37,17.9,30.84,979.94,10.27
Aragón,2012,Junio,21.86,14.15,29.57,937.6,11.72
Islas Baleares,2012,Junio,23.97,18.71,29.24,1013.96,9.65
Cataluña,2012,Junio,21.97,16.28,27.66,973.89,9.84
Canarias,2012,Junio,22.97,19.86,26.09,984.21,13.24
Cantabria,2012,Junio,17.13,12.85,21.41,991.6,10.79
Castilla-La Mancha,2012,Junio,23.17,15.22,31.11,933.3,11.12
Castilla y León,2012,Junio,17.99,10.45,25.53,912.16,11.44
Comunidad de Madrid,2012,Junio,21.38,14.53,28.24,909.4,11.61
Comunidad Foral de Navarra,2012,Junio,20.19,13.0,27.37,972.27,11.06
Comunidad Valenciana,2012,Junio,24.22,18.51,29.93,1000.44,9.81
Extremadura,2012,Junio,23.47,15.9,31.05,975.6,10.7
Galicia,2012,Junio,16.34,11.91,20.77,991.15,11.07
País Vasco,2012,Junio,18.28,13.03,23.53,995.96,10.93
Principado de Asturias,2012,Junio,15.63,11.92,19.34,979.68,11.03
Región de Murcia,2012,Junio,25.64,18.92,32.3,988.81,10.03
La Rioja,2012,Junio,22.21,14.51,29.9,976.6,9.28
Ceuta,2012,Junio,23.11,19.54,26.7,1008.03,9.75
Melilla,2012,Junio,24.21,21.1,27.33,1010.68,11.06
Andalucía,2012,Julio,25.81,18.94,32.67,980.12,10.38
Aragón,2012,Julio,22.83,14.42,31.24,938.79,11.26
Islas Baleares,2012,Julio,24.7,19.95,29.45,1014.76,9.8
Cataluña,2012,Julio,23.53,17.78,29.27,981.18,9.68
Canarias,2012,Julio,23.91,20.72,27.1,985.16,13.39
Cantabria,2012,Julio,17.99,13.32,22.64,993.19,9.03
Castilla-La Mancha,2012,Julio,25.11,16.34,33.88,934.8,10.96
Castilla y León,2012,Julio,19.8,11.23,28.36,913.39,10.66
Comunidad de Madrid,2012,Julio,23.61,15.73,31.49,914.69,11.24
Comunidad Foral de Navarra,2012,Julio,21.47,14.26,28.68,976.01,11.24
Comunidad Valenciana,2012,Julio,25.34,20.16,30.51,1000.23,9.66
Extremadura,2012,Julio,25.96,17.59,34.34,974.93,10.1
Galicia,2012,Julio,18.32,12.93,23.7,989.01,9.35
País Vasco,2012,Julio,18.73,13.52,23.94,997.6,9.12
Principado de Asturias,2012,Julio,16.83,13.0,20.67,981.19,8.94
Región de Murcia,2012,Julio,26.09,20.21,31.92,991.15,9.69
La Rioja,2012,Julio,22.87,15.19,30.55,978.07,8.96
Ceuta,2012,Julio,24.96,20.9,29.02,1007.7,10.17
Melilla,2012,Julio,25.99,22.73,29.25,1010.43,10.24
Andalucía,2012,Agosto,26.97,20.25,33.73,980.88,9.98
Aragón,2012,Agosto,25.27,16.8,33.75,939.65,11.48
Islas Baleares,2012,Agosto,26.8,21.78,31.82,1014.19,9.76
Cataluña,2012,Agosto,25.16,19.09,31.24,974.46,9.53
Canarias,2012,Agosto,25.08,21.76,28.39,985.69,12.63
Cantabria,2012,Agosto,19.77,14.76,24.77,991.43,9.39
Castilla-La Mancha,2012,Agosto,26.0,17.36,34.64,935.29,10.66
Castilla y León,2012,Agosto,20.87,12.49,29.25,914.78,10.98
Comunidad de Madrid,2012,Agosto,24.65,17.2,32.1,917.86,11.18
Comunidad Foral de Navarra,2012,Agosto,24.18,16.39,31.96,974.05,10.6
Comunidad Valenciana,2012,Agosto,26.8,21.6,32.0,1003.37,9.43
Extremadura,2012,Agosto,26.24,18.09,34.38,975.82,10.02
Galicia,2012,Agosto,18.84,13.64,24.04,990.64,10.14
País Vasco,2012,Agosto,21.22,15.95,26.5,996.66,9.26
Principado de Asturias,2012,Agosto,18.64,14.4,22.88,980.62,9.81
Región de Murcia,2012,Agosto,28.21,22.29,34.13,990.88,9.82
La Rioja,2012,Agosto,24.64,16.62,32.66,977.59,9.03
Ceuta,2012,Agosto,26.19,22.1,30.29,1008.06,9.23
Melilla,2012,Agosto,27.65,24.03,31.27,1010.45,10.8
Andalucía,2012,Septiembre,22.7,17.14,28.25,981.54,9.58
Aragón,2012,Septiembre,19.17,11.89,26.44,943.18,10.69
Islas Baleares,2012,Septiembre,22.67,18.22,27.12,1013.88,11.13
Cataluña,2012,Septiembre,20.79,15.33,26.25,972.36,9.24
Canarias,2012,Septiembre,24.13,21.05,27.22,985.15,9.82
Cantabria,2012,Septiembre,17.58,13.07,22.09,992.39,9.97
Castilla-La Mancha,2012,Septiembre,20.29,13.13,27.45,935.63,9.6
Castilla y León,2012,Septiembre,17.28,10.02,24.54,915.74,10.66
Comunidad de Madrid,2012,Septiembre,19.25,13.03,25.48,912.96,10.47
Comunidad Foral de Navarra,2012,Septiembre,19.27,12.96,25.57,973.86,10.91
Comunidad Valenciana,2012,Septiembre,22.41,17.07,27.75,1000.35,9.52
Extremadura,2012,Septiembre,22.79,16.25,29.34,974.89,9.3
Galicia,2012,Septiembre,18.27,12.79,23.74,987.71,11.1
País Vasco,2012,Septiembre,18.29,13.39,23.18,995.9,9.58
Principado de Asturias,2012,Septiembre,16.99,13.16,20.83,988.55,10.25
Región de Murcia,2012,Septiembre,23.05,17.3,28.8,991.24,9.24
La Rioja,2012,Septiembre,19.99,13.49,26.52,976.96,9.08
Ceuta,2012,Septiembre,22.93,19.76,26.08,1007.02,8.85
Melilla,2012,Septiembre,23.64,20.52,26.76,1010.48,9.78
Andalucía,2012,Octubre,18.02,13.34,22.69,981.64,8.92
Aragón,2012,Octubre,14.85,9.11,20.58,949.06,9.76
Islas Baleares,2012,Octubre,19.26,15.07,23.44,1011.98,11.39
Cataluña,2012,Octubre,16.09,11.29,20.89,975.21,8.85
Canarias,2012,Octubre,22.68,19.51,25.85,984.12,10.77
Cantabria,2012,Octubre,14.33,10.05,18.61,987.31,9.78
Castilla-La Mancha,2012,Octubre,14.97,9.22,20.73,933.1,8.35
Castilla y León,2012,Octubre,11.87,6.1,17.65,912.56,9.0
Comunidad de Madrid,2012,Octubre,13.07,8.19,17.96,908.43,9.3
Comunidad Foral de Navarra,2012,Octubre,14.64,9.18,20.09,963.34,9.02
Comunidad Valenciana,2012,Octubre,18.53,13.37,23.7,997.65,8.64
Extremadura,2012,Octubre,16.91,11.47,22.36,973.27,8.6
Galicia,2012,Octubre,14.19,10.12,18.27,991.26,10.07
País Vasco,2012,Octubre,15.18,10.73,19.62,991.73,9.51
Principado de Asturias,2012,Octubre,13.67,9.92,17.42,981.32,9.68
Región de Murcia,2012,Octubre,18.87,13.42,24.34,988.71,8.16
La Rioja,2012,Octubre,15.11,9.77,20.46,973.72,8.31
Ceuta,2012,Octubre,19.81,17.3,22.32,1006.2,8.91
Melilla,2012,Octubre,20.36,17.39,23.32,1009.54,9.71
Andalucía,2012,Noviembre,13.59,10.1,17.07,981.62,9.79
Aragón,2012,Noviembre,9.26,5.07,13.46,945.08,9.23
Islas Baleares,2012,Noviembre,14.8,11.55,18.06,1013.55,11.26
Cataluña,2012,Noviembre,11.12,6.93,15.31,981.52,7.95
Canarias,2012,Noviembre,20.29,17.47,23.12,985.14,12.19
Cantabria,2012,Noviembre,10.55,6.83,14.25,990.85,12.38
Castilla-La Mancha,2012,Noviembre,9.8,5.76,13.83,933.46,8.87
Castilla y León,2012,Noviembre,6.65,2.39,10.92,909.58,10.52
Comunidad de Madrid,2012,Noviembre,7.91,4.43,11.37,910.14,10.0
Comunidad Foral de Navarra,2012,Noviembre,9.56,5.35,13.78,972.67,9.82
Comunidad Valenciana,2012,Noviembre,13.75,9.85,17.65,1000.9,9.36
Extremadura,2012,Noviembre,11.72,7.77,15.66,974.77,9.66
Galicia,2012,Noviembre,10.09,6.52,13.66,992.86,11.21
País Vasco,2012,Noviembre,10.93,7.05,14.81,994.56,11.44
Principado de Asturias,2012,Noviembre,9.24,6.14,12.35,978.98,12.23
Región de Murcia,2012,Noviembre,14.19,10.49,17.87,989.66,8.69
La Rioja,2012,Noviembre,9.43,5.74,13.13,976.09,8.3
Ceuta,2012,Noviembre,16.71,14.55,18.9,1007.68,10.15
Melilla,2012,Noviembre,17.26,14.45,20.08,1010.55,11.57
Andalucía,2012,Diciembre,11.21,6.82,15.59,986.7,8.0
Aragón,2012,Diciembre,6.58,1.44,11.72,949.96,10.45
Islas Baleares,2012,Diciembre,11.84,7.99,15.7,1019.28,12.03
Cataluña,2012,Diciembre,8.05,3.1,12.99,984.2,8.44
Canarias,2012,Diciembre,18.39,15.18,21.6,993.32,9.63
Cantabria,2012,Diciembre,9.58,5.93,13.22,996.84,12.64
Castilla-La Mancha,2012,Diciembre,6.7,1.87,11.53,939.94,7.81
Castilla y León,2012,Diciembre,5.02,1.06,8.98,914.82,10.22
Comunidad de Madrid,2012,Diciembre,5.19,1.33,9.06,914.93,8.76
Comunidad Foral de Navarra,2012,Diciembre,7.27,2.91,11.62,978.89,9.96
Comunidad Valenciana,2012,Diciembre,11.46,6.02,16.91,1003.77,9.33
Extremadura,2012,Diciembre,8.83,4.87,12.78,982.62,7.75
Galicia,2012,Diciembre,9.87,7.22,12.53,991.79,12.64
País Vasco,2012,Diciembre,9.48,5.7,13.25,998.84,13.2
Principado de Asturias,2012,Diciembre,8.96,5.8,12.11,982.23,13.25
Región de Murcia,2012,Diciembre,11.43,5.65,17.19,996.14,8.4
La Rioja,2012,Diciembre,7.26,3.11,11.44,980.88,8.22
Ceuta,2012,Diciembre,15.16,12.64,17.67,1015.55,8.51
Melilla,2012,Diciembre,14.87,11.47,18.27,1018.4,9.76
Andalucía,2013,Enero,10.43,6.15,14.72,987.08,11.21
Aragón,2013,Enero,5.93,0.96,10.91,950.29,12.62
Islas Baleares,2013,Enero,10.35,5.84,14.86,1016.41,13.94
Cataluña,2013,Enero,7.17,2.09,12.25,973.74,9.95
Canarias,2013,Enero,17.57,14.46,20.68,996.17,10.56
Cantabria,2013,Enero,8.19,4.66,11.73,993.79,13.91
Castilla-La Mancha,2013,Enero,5.96,1.19,10.74,937.52,10.08
Castilla y León,2013,Enero,4.49,0.22,8.76,913.44,11.29
Comunidad de Madrid,2013,Enero,4.97,1.04,8.91,914.43,12.06
Comunidad Foral de Navarra,2013,Enero,6.12,1.55,10.68,977.05,10.69
Comunidad Valenciana,2013,Enero,11.39,6.0,16.78,1001.95,12.77
Extremadura,2013,Enero,8.6,4.55,12.64,982.28,9.65
Galicia,2013,Enero,9.02,5.98,12.05,992.42,12.1
País Vasco,2013,Enero,7.92,4.34,11.51,997.35,13.15
Principado de Asturias,2013,Enero,8.11,5.02,11.2,982.91,14.19
Región de Murcia,2013,Enero,11.51,5.61,17.41,994.26,12.36
La Rioja,2013,Enero,7.84,3.34,12.37,979.48,11.03
Ceuta,2013,Enero,14.7,12.25,17.15,1015.45,13.22
Melilla,2013,Enero,14.7,11.82,17.57,1018.32,15.08
Andalucía,2013,Febrero,9.56,4.92,14.19,982.62,11.3
Aragón,2013,Febrero,4.98,0.62,9.34,943.58,13.02
Islas Baleares,2013,Febrero,9.0,5.16,12.84,1014.62,13.48
Cataluña,2013,Febrero,6.4,1.6,11.2,970.21,11.15
Canarias,2013,Febrero,17.31,14.37,20.25,992.53,11.89
Cantabria,2013,Febrero,6.91,3.94,9.89,993.24,13.72
Castilla-La Mancha,2013,Febrero,5.67,0.76,10.59,934.61,10.8
Castilla y León,2013,Febrero,3.52,-0.91,7.95,912.49,11.24
Comunidad de Madrid,2013,Febrero,4.38,0.34,8.42,913.8,12.8
Comunidad Foral de Navarra,2013,Febrero,5.21,1.66,8.75,975.56,12.16
Comunidad Valenciana,2013,Febrero,10.09,5.44,14.74,1001.51,13.15
Extremadura,2013,Febrero,8.0,3.06,12.95,980.37,9.69
Galicia,2013,Febrero,8.05,4.65,11.45,991.07,10.85
País Vasco,2013,Febrero,6.61,3.39,9.82,996.42,12.89
Principado de Asturias,2013,Febrero,6.19,3.58,8.8,982.98,12.61
Región de Murcia,2013,Febrero,10.84,5.53,16.12,991.7,12.58
La Rioja,2013,Febrero,6.49,2.93,10.05,977.79,10.2
Ceuta,2013,Febrero,13.21,10.47,15.96,1011.48,11.8
Melilla,2013,Febrero,13.05,9.6,16.5,1014.33,14.01
Andalucía,2013,Marzo,12.61,8.95,16.27,976.31,13.14
Aragón,2013,Marzo,8.84,4.05,13.62,935.51,12.13
Islas Baleares,2013,Marzo,13.14,9.18,17.1,1007.01,14.36
Cataluña,2013,Marzo,10.31,5.38,15.23,962.42,10.9
Canarias,2013,Marzo,18.75,15.58,21.91,988.06,11.63
Cantabria,2013,Marzo,9.82,5.93,13.71,980.63,13.52
Castilla-La Mancha,2013,Marzo,8.96,4.86,13.05,926.38,12.52
Castilla y León,2013,Marzo,6.42,2.17,10.66,901.1,13.49
Comunidad de Madrid,2013,Marzo,7.38,3.59,11.17,905.85,13.15
Comunidad Foral de Navarra,2013,Marzo,9.47,4.57,14.37,965.35,11.88
Comunidad Valenciana,2013,Marzo,13.34,8.56,18.11,990.81,12.29
Extremadura,2013,Marzo,10.94,7.18,14.7,969.05,12.37
Galicia,2013,Marzo,10.27,6.94,13.59,977.34,13.22
País Vasco,2013,Marzo,10.46,6.31,14.61,985.08,13.15
Principado de Asturias,2013,Marzo,8.74,5.5,11.98,968.89,13.83
Región de Murcia,2013,Marzo,14.17,9.04,19.29,985.55,11.8
La Rioja,2013,Marzo,9.79,4.75,14.81,967.07,10.29
Ceuta,2013,Marzo,15.34,12.74,17.95,1005.59,12.74
Melilla,2013,Marzo,16.01,12.76,19.26,1008.03,13.48
Andalucía,2013,Abril,15.27,10.23,20.3,981.46,10.29
Aragón,2013,Abril,10.8,4.91,16.69,942.34,11.63
Islas Baleares,2013,Abril,14.24,9.86,18.63,1013.51,11.76
Cataluña,2013,Abril,12.28,6.97,17.59,971.1,10.11
Canarias,2013,Abril,19.74,16.47,23.0,988.07,12.09
Cantabria,2013,Abril,10.43,6.38,14.49,990.91,11.86
Castilla-La Mancha,2013,Abril,11.75,5.67,17.84,931.73,10.13
Castilla y León,2013,Abril,8.46,2.78,14.15,909.55,11.83
Comunidad de Madrid,2013,Abril,10.24,4.76,15.72,914.47,11.34
Comunidad Foral de Navarra,2013,Abril,11.53,5.82,17.25,973.96,11.42
Comunidad Valenciana,2013,Abril,13.98,8.92,19.05,986.83,10.67
Extremadura,2013,Abril,13.97,8.09,19.84,975.13,9.94
Galicia,2013,Abril,11.45,7.04,15.86,988.55,13.02
País Vasco,2013,Abril,11.38,6.65,16.11,995.32,12.22
Principado de Asturias,2013,Abril,9.98,6.53,13.43,981.02,12.14
Región de Murcia,2013,Abril,15.58,10.09,21.04,989.42,10.4
La Rioja,2013,Abril,11.64,5.71,17.6,976.57,9.99
Ceuta,2013,Abril,16.25,13.56,18.94,1008.27,9.5
Melilla,2013,Abril,16.87,13.99,19.75,1011.34,11.39
Andalucía,2013,Mayo,17.32,11.93,22.71,979.78,10.37
Aragón,2013,Mayo,11.92,6.07,17.76,943.14,11.96
Islas Baleares,2013,Mayo,16.08,11.68,20.48,1013.19,10.87
Cataluña,2013,Mayo,14.2,9.0,19.4,969.96,10.2
Canarias,2013,Mayo,19.85,16.76,22.93,991.8,11.6
Cantabria,2013,Mayo,11.05,7.59,14.51,991.2,11.17
Castilla-La Mancha,2013,Mayo,14.1,7.53,20.67,932.09,10.45
Castilla y León,2013,Mayo,10.27,4.1,16.42,910.82,10.28
Comunidad de Madrid,2013,Mayo,12.5,6.5,18.5,913.4,11.13
Comunidad Foral de Navarra,2013,Mayo,11.67,6.79,16.55,974.21,11.9
Comunidad Valenciana,2013,Mayo,16.64,11.29,21.99,986.27,10.62
Extremadura,2013,Mayo,16.62,9.51,23.72,974.68,10.28
Galicia,2013,Mayo,12.12,7.3,16.93,989.4,10.93
País Vasco,2013,Mayo,11.81,8.2,15.42,995.95,11.66
Principado de Asturias,2013,Mayo,10.15,6.95,13.35,980.35,10.55
Región de Murcia,2013,Mayo,18.38,12.94,23.84,988.98,10.24
La Rioja,2013,Mayo,12.41,7.17,17.67,976.47,8.92
Ceuta,2013,Mayo,18.34,15.23,21.42,1008.22,10.23
Melilla,2013,Mayo,19.24,15.83,22.66,1011.16,11.49
Andalucía,2013,Junio,21.6,15.47,27.72,980.44,10.07
Aragón,2013,Junio,17.83,10.77,24.88,944.42,10.92
Islas Baleares,2013,Junio,20.57,15.66,25.48,1016.06,9.69
